DOWNSVILLE CENTRAL SCHOOL DISTRICT,2012-2013,16,0.19,18,0.21,34,0.40,DISTRICT TOTAL,14784 STATE HWY 30,DOWNSVILLE,NY,13755
DOWNSVILLE CENTRAL SCHOOL DISTRICT,2012-2013,12,0.21,10,0.18,22,0.39,ELEMENTARY,14784 STATE HWY 30,DOWNSVILLE,NY,13755
DOWNSVILLE CENTRAL SCHOOL DISTRICT,2012-2013,,,,,,,MIDDLE/HIGH,14784 STATE HWY 30,DOWNSVILLE,NY,13755
HANCOCK CENTRAL SCHOOL DISTRICT,2012-2013,21,0.18,35,0.30,56,0.49,DISTRICT TOTAL,67 EDUCATION LN,HANCOCK,NY,13783
HANCOCK CENTRAL SCHOOL DISTRICT,2012-2013,8,0.15,16,0.30,24,0.44,ELEMENTARY,67 EDUCATION LN,HANCOCK,NY,13783
HANCOCK CENTRAL SCHOOL DISTRICT,2012-2013,6,0.13,19,0.40,25,0.52,MIDDLE/HIGH,67 EDUCATION LN,HANCOCK,NY,13783
ROXBURY CENTRAL SCHOOL DISTRICT,2012-2013,25,0.18,32,0.24,57,0.42,DISTRICT TOTAL,53729 NYS RT 30,ROXBURY,NY,12474
ROXBURY CENTRAL SCHOOL DISTRICT,2012-2013,19,0.19,26,0.27,45,0.46,ELEMENTARY,53729 NYS RT 30,ROXBURY,NY,12474
ROXBURY CENTRAL SCHOOL DISTRICT,2012-2013,6,0.16,6,0.16,12,0.32,MIDDLE/HIGH,53729 NYS RT 30,ROXBURY,NY,12474
STAMFORD CENTRAL SCHOOL DISTRICT,2012-2013,18,0.12,34,0.23,52,0.35,DISTRICT TOTAL,1 RIVER ST,STAMFORD,NY,12167
STAMFORD CENTRAL SCHOOL DISTRICT,2012-2013,10,0.12,14,0.16,24,0.28,ELEMENTARY,1 RIVER ST,STAMFORD,NY,12167
STAMFORD CENTRAL SCHOOL DISTRICT,2012-2013,8,0.13,20,0.32,28,0.44,MIDDLE/HIGH,1 RIVER ST,STAMFORD,NY,12167
SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,2012-2013,19,0.15,20,0.16,39,0.31,DISTRICT TOTAL,58200 STATE HWY 10,SOUTH KORTRIGHT,NY,13842
SOUTH KORTRIGHT CENTRAL SCHOOL DISTRICT,2012-2013,14,0.17,6,0.07,20,0.24,ELEMENTARY,58200 STATE HWY 10,SOUTH KORTRIGHT,NY,13842
